2017,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2810,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",2956,,,,
2020,Employment Status By Disability Status,Employed,Disabled,"Charles County, Maryland",3685,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2436,
2016,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2371,
2018,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2374,
2017,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2440,
2019,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2392,
2020,Employment Status By Education,Employed,Less than Highschool,"Charles County, Maryland",2486,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",344,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",351,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",377,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",161,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",200,
2020,Employment Status By Education,Unemployed,Less than Highschool,"Charles County, Maryland",165,
2015,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1960,
2017,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",2203,
2018,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1983,
2016,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",1930,
2019,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",2009,
2020,Employment Status By Education,NIL,Less than Highschool,"Charles County, Maryland",2043,
2015,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",6.3,0.063
2016,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",5.1,0.051
2017,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",4.6,0.046
2018,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",4,0.04
2020,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",4.3,0.043
2019,Unemployment By Veteran Status,,Non Veteran,"Charles County, Maryland",3.3,0.033
2015,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.8,0.038
2016,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.5,0.035
2018,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.3,0.033
2017,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3.3,0.033
2019,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",3,0.03
2020,Unemployment By Veteran Status,,Veteran,"Charles County, Maryland",2.9,0.028999999999999998
2015,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22808,
2016,Employment Status By Education,Employed,Some College,"Charles County, Maryland",23156,
2017,Employment Status By Education,Employed,Some College,"Charles County, Maryland",22651,
2018,Employment Status By Education,Employed,Some College,"Charles County, Maryland",23098,
2019,Employment Status By Education,Employed,Some College,"Charles County, Maryland",23574,
2020,Employment Status By Education,Employed,Some College,"Charles County, Maryland",24210,
2015,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",1122,
2016,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",959,
2017,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",765,
2018,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",575,
2019,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",465,
2020,Employment Status By Education,Unemployed,Some College,"Charles County, Maryland",671,
2015,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4790,
2016,Employment Status By Education,NIL,Some College,"Charles County, Maryland",5093,
2017,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4902,
2019,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4912,
2018,Employment Status By Education,NIL,Some College,"Charles County, Maryland",5258,
2020,Employment Status By Education,NIL,Some College,"Charles County, Maryland",4267,
2015,Unemployment By Race,,Asian,"Charles County, Maryland",10.7,0.107
2016,Unemployment By Race,,Asian,"Charles County, Maryland",4.6,0.046
2017,Unemployment By Race,,Asian,"Charles County, Maryland",4.1,0.040999999999999995
2018,Unemployment By Race,,Asian,"Charles County, Maryland",3.7,0.037000000000000005
2020,Unemployment By Race,,Asian,"Charles County, Maryland",2.2,0.022000000000000002
2019,Unemployment By Race,,Asian,"Charles County, Maryland",2.2,0.022000000000000002
2016,Unemployment By Race,,White,"Charles County, Maryland",3.5,0.035
2015,Unemployment By Race,,White,"Charles County, Maryland",4.1,0.040999999999999995
2017,Unemployment By Race,,White,"Charles County, Maryland",3.5,0.035
2018,Unemployment By Race,,White,"Charles County, Maryland",3,0.03
2020,Unemployment By Race,,White,"Charles County, Maryland",3.6,0.036000000000000004
2019,Unemployment By Race,,White,"Charles County, Maryland",3.2,0.032
2015,Unemployment By Race,,Black,"Charles County, Maryland",8.1,0.081
2016,Unemployment By Race,,Black,"Charles County, Maryland",6.4,0.064
2017,Unemployment By Race,,Black,"Charles County, Maryland",5.6,0.055999999999999994
2018,Unemployment By Race,,Black,"Charles County, Maryland",5.1,0.051
2019,Unemployment By Race,,Black,"Charles County, Maryland",3.7,0.037000000000000005
2020,Unemployment By Race,,Black,"Charles County, Maryland",5.2,0.052000000000000005
2017,SNAP Recipient Workers,,,"Dorchester County, Maryland",3214,,,,,
2018,SNAP Recipient Workers,,,"Dorchester County, Maryland",3065,,,,,
2019,SNAP Recipient Workers,,,"Dorchester County, Maryland",2997,,,,,
2020,SNAP Recipient Workers,,,"Dorchester County, Maryland",2958,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Dorchester County, Maryland",0.012614,1.2614,,,,
2018,SNAP Recipient Workers by Percentage,,,"Dorchester County, Maryland",0.012851999999999999,1.2852,,,,
2019,SNAP Recipient Workers by Percentage,,,"Dorchester County, Maryland",0.012461999999999999,1.2462,,,,
2020,SNAP Recipient Workers by Percentage,,,"Dorchester County, Maryland",0.012849,1.2849,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1033,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1209,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1169,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1097,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Dorchester County, Maryland",1156,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",14600,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",14140,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",13923,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",13744,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",13238,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Dorchester County, Maryland",1624,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Dorchester County, Maryland",1795,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Dorchester County, Maryland",1580,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Dorchester County, Maryland",1469,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Dorchester County, Maryland",1492,,,,
2020,Median Household Income,,,"Dorchester County, Maryland",52799,,,,,,
2018,Median Household Income,,,"Dorchester County, Maryland",52145,,,,,,
2015,Median Household Income,,,"Dorchester County, Maryland",47093,,,,,,
2017,Median Household Income,,,"Dorchester County, Maryland",50532,,,,,,
2016,Median Household Income,,,"Dorchester County, Maryland",47907,,,,,,
2019,Median Household Income,,,"Dorchester County, Maryland",52917,,,,,,
2015,Total Population,,,"Dorchester County, Maryland",32534,,,,,
2018,Total Population,,,"Dorchester County, Maryland",32261,,,,,
2017,Total Population,,,"Dorchester County, Maryland",32386,,,,,
2020,Total Population,,,"Dorchester County, Maryland",31994,,,,,
2019,Total Population,,,"Dorchester County, Maryland",32138,,,,,
2016,Total Population,,,"Dorchester County, Maryland",32451,,,,,
2016,Unemployment By Gender,,Male,"Dorchester County, Maryland",10,0.1
2015,Unemployment By Gender,,Male,"Dorchester County, Maryland",11.8,0.11800000000000001
2020,Unemployment By Gender,,Male,"Dorchester County, Maryland",7.6,0.076
2018,Unemployment By Gender,,Male,"Dorchester County, Maryland",8.1,0.081
2017,Unemployment By Gender,,Male,"Dorchester County, Maryland",8.9,0.08900000000000001
2019,Unemployment By Gender,,Male,"Dorchester County, Maryland",8.1,0.081
2017,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",280,,,,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",230,,,,
2015,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",312,,,,
2020,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",179,,,,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",292,,,,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Dorchester County, Maryland",241,,,,
2015,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",0.4,0.004
2016,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",0.8,0.008
2020,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",6.7,0.067
2019,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",7.9,0.079
2018,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",8,0.08
2017,Unemployment By Race,,Hispanic,"Dorchester County, Maryland",0.9,0.009000000000000001
2016,Unemployment By Gender,,Female,"Dorchester County, Maryland",7.8,0.078
2015,Unemployment By Gender,,Female,"Dorchester County, Maryland",7.3,0.073
2017,Unemployment By Gender,,Female,"Dorchester County, Maryland",6.6,0.066
2018,Unemployment By Gender,,Female,"Dorchester County, Maryland",6.1,0.061
2019,Unemployment By Gender,,Female,"Dorchester County, Maryland",6.1,0.061
2020,Unemployment By Gender,,Female,"Dorchester County, Maryland",5.2,0.052000000000000005
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",966,,,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",1316,,,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",1251,,,,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",885,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",918,,,,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"Dorchester County, Maryland",865,,,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",13284,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12957,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12889,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12353,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12826,
2020,Employment Status By Disability Status,Employed,Non Disabled,"Dorchester County, Maryland",12199,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2891,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",3095,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2867,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2968,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2918,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"Dorchester County, Maryland",2591,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",142,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",72,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",87,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",36,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",87,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Dorchester County, Maryland",98,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",406,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",339,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",292,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",371,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",395,
2020,Employment Status By Education,NIL,Bachelor's or Higher,"Dorchester County, Maryland",304,
2015,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4672,
2016,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4545,
2017,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4589,
2019,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4312,
2018,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4618,
2020,Employment Status By Education,Employed,Highschool,"Dorchester County, Maryland",4586,
2015,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",514,
2017,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",375,
2016,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",488,
2018,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",390,
2019,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",365,
2020,Employment Status By Education,Unemployed,Highschool,"Dorchester County, Maryland",343,
2016,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1301,
2015,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1262,
2017,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1311,
2018,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1395,
2019,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1456,
2020,Employment Status By Education,NIL,Highschool,"Dorchester County, Maryland",1415,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",1142,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",993,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",972,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",1068,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",1003,
2020,Employment Status By Poverty Status,Employed,Below Poverty,"Dorchester County, Maryland",952,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",631,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",653,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",466,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",512,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",520,
2020,Employment Status By Poverty Status,Unemployed,Below Poverty,"Dorchester County, Maryland",428,
2015,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",721,,,,
2016,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",917,,,,
2018,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",867,,,,
2017,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",889,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",915,,,,
2020,Employment Status By Disability Status,Employed,Disabled,"Dorchester County, Maryland",920,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1104,
2016,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1119,
2017,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1168,
2019,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",976,
2018,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",1080,
2020,Employment Status By Education,Employed,Less than Highschool,"Dorchester County, Maryland",995,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",185,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",233,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",143,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",105,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",129,
2020,Employment Status By Education,Unemployed,Less than Highschool,"Dorchester County, Maryland",119,
2015,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",758,
2016,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",860,
2017,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",903,
2018,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",814,
2019,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",838,
2015,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",10.7,0.107
2020,Employment Status By Education,NIL,Less than Highschool,"Dorchester County, Maryland",912,
2016,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",10.3,0.10300000000000001
2017,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",8.3,0.083
2019,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",8.1,0.081
2018,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",8,0.08
2020,Unemployment By Veteran Status,,Non Veteran,"Dorchester County, Maryland",7.6,0.076
2015,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",7,0.07
2016,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",6.7,0.067
2017,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",7.9,0.079
2018,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",3.3,0.033
2019,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",3.2,0.032
2017,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3578,
2016,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3506,
2015,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3775,
2020,Unemployment By Veteran Status,,Veteran,"Dorchester County, Maryland",3.2,0.032
2018,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3559,
2016,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",385,
2015,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",337,
2017,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",382,
2020,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3691,
2019,Employment Status By Education,Employed,Some College,"Dorchester County, Maryland",3582,
2018,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",290,
2020,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",302,
2016,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",836,
2015,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",776,
2019,Employment Status By Education,Unemployed,Some College,"Dorchester County, Maryland",292,
2017,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",915,
2020,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",993,
2019,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",974,
2015,Unemployment By Race,,Asian,"Dorchester County, Maryland",15.6,0.156
2016,Unemployment By Race,,Asian,"Dorchester County, Maryland",7.9,0.079
2017,Unemployment By Race,,Asian,"Dorchester County, Maryland",6.5,0.065
2018,Employment Status By Education,NIL,Some College,"Dorchester County, Maryland",921,
2020,Unemployment By Race,,Asian,"Dorchester County, Maryland",12.5,0.125
2016,Unemployment By Race,,White,"Dorchester County, Maryland",7.6,0.076
2019,Unemployment By Race,,Asian,"Dorchester County, Maryland",10.5,0.105
2015,Unemployment By Race,,White,"Dorchester County, Maryland",7.9,0.079
2017,Unemployment By Race,,White,"Dorchester County, Maryland",6.5,0.065
2018,Unemployment By Race,,Asian,"Dorchester County, Maryland",7,0.07
2016,Unemployment By Race,,Black,"Dorchester County, Maryland",16.6,0.166
2018,Unemployment By Race,,White,"Dorchester County, Maryland",5.7,0.057
2019,Unemployment By Race,,White,"Dorchester County, Maryland",6.3,0.063
2020,Unemployment By Race,,White,"Dorchester County, Maryland",5.9,0.059000000000000004
2017,Unemployment By Race,,Black,"Dorchester County, Maryland",12.4,0.124
2015,Unemployment By Race,,Black,"Dorchester County, Maryland",17.1,0.171
2019,Unemployment By Race,,Black,"Dorchester County, Maryland",11.5,0.115
2020,Unemployment By Race,,Black,"Dorchester County, Maryland",9.6,0.096
2018,Unemployment By Race,,Black,"Dorchester County, Maryland",12.1,0.121
2017,SNAP Recipient Workers,,,"Frederick County, Maryland",7092,,,,,
2018,SNAP Recipient Workers,,,"Frederick County, Maryland",6624,,,,,
2019,SNAP Recipient Workers,,,"Frederick County, Maryland",6691,,,,,
2020,SNAP Recipient Workers,,,"Frederick County, Maryland",6406,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Frederick County, Maryland",0.027833,2.7833,,,,
2018,SNAP Recipient Workers by Percentage,,,"Frederick County, Maryland",0.027774999999999998,2.7775,,,,
2019,SNAP Recipient Workers by Percentage,,,"Frederick County, Maryland",0.027823,2.7823,,,,
2020,SNAP Recipient Workers by Percentage,,,"Frederick County, Maryland",0.027826,2.7826,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7501,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7304,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7514,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7381,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",7009,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",119089,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",119970,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",121075,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",121072,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",123069,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Frederick County, Maryland",5176,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Frederick County, Maryland",5479,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Frederick County, Maryland",5738,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Frederick County, Maryland",5620,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Frederick County, Maryland",5798,,,,
2016,Median Household Income,,,"Frederick County, Maryland",85715,,,,,,
2017,Median Household Income,,,"Frederick County, Maryland",88502,,,,,,
2015,Median Household Income,,,"Frederick County, Maryland",83700,,,,,,
2018,Median Household Income,,,"Frederick County, Maryland",91999,,,,,,
2019,Median Household Income,,,"Frederick County, Maryland",97730,,,,,,
2020,Median Household Income,,,"Frederick County, Maryland",100685,,,,,,
2015,Total Population,,,"Frederick County, Maryland",241373,,,,,
2016,Total Population,,,"Frederick County, Maryland",243465,,,,,
2017,Total Population,,,"Frederick County, Maryland",246105,,,,,
2019,Total Population,,,"Frederick County, Maryland",251422,,,,,
2020,Total Population,,,"Frederick County, Maryland",255955,,,,,
2018,Total Population,,,"Frederick County, Maryland",248472,,,,,
2015,Unemployment By Gender,,Male,"Frederick County, Maryland",4.8,0.048
2019,Unemployment By Gender,,Male,"Frederick County, Maryland",3.7,0.037000000000000005
2016,Unemployment By Gender,,Male,"Frederick County, Maryland",4.4,0.044000000000000004
2017,Unemployment By Gender,,Male,"Frederick County, Maryland",4.4,0.044000000000000004
2018,Unemployment By Gender,,Male,"Frederick County, Maryland",4.2,0.042
2020,Unemployment By Gender,,Male,"Frederick County, Maryland",3.6,0.036000000000000004
2015,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",928,,,,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",736,,,,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",776,,,,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",559,,,,
2020,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",525,,,,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Frederick County, Maryland",666,,,,
2015,Unemployment By Race,,Hispanic,"Frederick County, Maryland",5.4,0.054000000000000006
2017,Unemployment By Race,,Hispanic,"Frederick County, Maryland",4.6,0.046
2018,Unemployment By Race,,Hispanic,"Frederick County, Maryland",4.5,0.045
2019,Unemployment By Race,,Hispanic,"Frederick County, Maryland",4.6,0.046
2020,Unemployment By Race,,Hispanic,"Frederick County, Maryland",5,0.05
2016,Unemployment By Race,,Hispanic,"Frederick County, Maryland",4.6,0.046
2015,Unemployment By Gender,,Female,"Frederick County, Maryland",5.8,0.057999999999999996
2019,Unemployment By Gender,,Female,"Frederick County, Maryland",3.9,0.039
2016,Unemployment By Gender,,Female,"Frederick County, Maryland",5.3,0.053
2017,Unemployment By Gender,,Female,"Frederick County, Maryland",5.1,0.051
2018,Unemployment By Gender,,Female,"Frederick County, Maryland",4.3,0.043
2020,Unemployment By Gender,,Female,"Frederick County, Maryland",3.9,0.039
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",6246,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",5717,,,,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",5122,,,,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",5764,,,,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",4754,,,,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"Frederick County, Maryland",4729,,,,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",112843,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",115950,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",115358,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",114206,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",118315,
2020,Employment Status By Disability Status,Employed,Non Disabled,"Frederick County, Maryland",119512,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",46987,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",48250,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",49383,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",49998,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",51704,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"Frederick County, Maryland",52063,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1220,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1184,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1283,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1318,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1145,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"Frederick County, Maryland",1238,
